dx,mental_cat,match_type
T50.4X2,self_harm,exact
T50.4X2A,self_harm,exact
T50.4X2D,self_harm,exact
T50.4X2S,self_harm,exact
T50.5X2,self_harm,exact
T50.5X2A,self_harm,exact
T50.5X2D,self_harm,exact
T50.5X2S,self_harm,exact
T50.6X2,self_harm,exact
T50.6X2A,self_harm,exact
T50.6X2D,self_harm,exact
T50.6X2S,self_harm,exact
T50.7X2,self_harm,exact
T50.7X2A,self_harm,exact
T50.7X2D,self_harm,exact
T50.7X2S,self_harm,exact
T50.8X2,self_harm,exact
T50.8X2A,self_harm,exact
T50.8X2D,self_harm,exact
T50.8X2S,self_harm,exact
T50.902,self_harm,exact
T50.902A,self_harm,exact
T50.902D,self_harm,exact
T50.902S,self_harm,exact
T50.992,self_harm,exact
T50.992A,self_harm,exact
T50.992D,self_harm,exact
T50.992S,self_harm,exact
T50.A12,self_harm,exact
T50.A12A,self_harm,exact
T50.A12D,self_harm,exact
T50.A12S,self_harm,exact
T50.A22,self_harm,exact
T50.A22A,self_harm,exact
T50.A22D,self_harm,exact
T50.A22S,self_harm,exact
T50.A92,self_harm,exact
T50.A92A,self_harm,exact
T50.A92D,self_harm,exact
T50.A92S,self_harm,exact
T50.B12,self_harm,exact
T50.B12A,self_harm,exact
T50.B12D,self_harm,exact
T50.B12S,self_harm,exact
T50.B92,self_harm,exact
T50.B92A,self_harm,exact
T50.B92D,self_harm,exact
T50.B92S,self_harm,exact
T50.Z12,self_harm,exact
T50.Z12A,self_harm,exact
T50.Z12D,self_harm,exact
T50.Z12S,self_harm,exact
T50.Z92,self_harm,exact
T50.Z92A,self_harm,exact
T50.Z92D,self_harm,exact
T50.Z92S,self_harm,exact
T51.0X2,self_harm,exact
T51.0X2A,self_harm,exact
T51.0X2D,self_harm,exact
T51.0X2S,self_harm,exact
T51.1X2,self_harm,exact
T51.1X2A,self_harm,exact
T51.1X2D,self_harm,exact
T51.1X2S,self_harm,exact
T51.2X2,self_harm,exact
T51.2X2A,self_harm,exact
T51.2X2D,self_harm,exact
T51.2X2S,self_harm,exact
T51.3X2,self_harm,exact
T51.3X2A,self_harm,exact
T51.3X2D,self_harm,exact
T51.3X2S,self_harm,exact
T51.8X2,self_harm,exact
T51.8X2A,self_harm,exact
T51.8X2D,self_harm,exact
T51.8X2S,self_harm,exact
T51.92XA,self_harm,exact
T51.92XD,self_harm,exact
T51.92XS,self_harm,exact
T52.0X2,self_harm,exact
T52.0X2A,self_harm,exact
T52.0X2D,self_harm,exact
T52.0X2S,self_harm,exact
T52.1X2,self_harm,exact
T52.1X2A,self_harm,exact
T52.1X2D,self_harm,exact
T52.1X2S,self_harm,exact
T52.2X2,self_harm,exact
T52.2X2A,self_harm,exact
T52.2X2D,self_harm,exact
T52.2X2S,self_harm,exact
T52.3X2,self_harm,exact
T52.3X2A,self_harm,exact
T52.3X2D,self_harm,exact
T52.3X2S,self_harm,exact
T52.4X2,self_harm,exact
T52.4X2A,self_harm,exact
T52.4X2D,self_harm,exact
T52.4X2S,self_harm,exact
T52.8X2,self_harm,exact
T52.8X2A,self_harm,exact
T52.8X2D,self_harm,exact
T52.8X2S,self_harm,exact
T52.92XA,self_harm,exact
T52.92XD,self_harm,exact
T52.92XS,self_harm,exact
T53.0X2,self_harm,exact
T53.0X2A,self_harm,exact
T53.0X2D,self_harm,exact
T53.0X2S,self_harm,exact
T53.1X2,self_harm,exact
T53.1X2A,self_harm,exact
T53.1X2D,self_harm,exact
T53.1X2S,self_harm,exact
T53.2X2,self_harm,exact
T53.2X2A,self_harm,exact
T53.2X2D,self_harm,exact
T53.2X2S,self_harm,exact
T53.3X2,self_harm,exact
T53.3X2A,self_harm,exact
T53.3X2D,self_harm,exact
T53.3X2S,self_harm,exact
T53.4X2,self_harm,exact
T53.4X2A,self_harm,exact
T53.4X2D,self_harm,exact
T53.4X2S,self_harm,exact
T53.5X2,self_harm,exact
T53.5X2A,self_harm,exact
T53.5X2D,self_harm,exact
T53.5X2S,self_harm,exact
T53.6X2,self_harm,exact
T53.6X2A,self_harm,exact
T53.6X2D,self_harm,exact
T53.6X2S,self_harm,exact
T53.7X2,self_harm,exact
T53.7X2A,self_harm,exact
T53.7X2D,self_harm,exact
T53.7X2S,self_harm,exact
T53.92XA,self_harm,exact
T53.92XD,self_harm,exact
T53.92XS,self_harm,exact
T54.0X2,self_harm,exact
T54.0X2A,self_harm,exact
T54.0X2D,self_harm,exact
T54.0X2S,self_harm,exact
T54.1X2,self_harm,exact
T54.1X2A,self_harm,exact
T54.1X2D,self_harm,exact
T54.1X2S,self_harm,exact
T54.2X2,self_harm,exact
T54.2X2A,self_harm,exact
T54.2X2D,self_harm,exact
T54.2X2S,self_harm,exact
T54.3X2,self_harm,exact
T54.3X2A,self_harm,exact
T54.3X2D,self_harm,exact
T54.3X2S,self_harm,exact
T54.92XA,self_harm,exact
T54.92XD,self_harm,exact
T54.92XS,self_harm,exact
T55.0X2,self_harm,exact
T55.0X2A,self_harm,exact
T55.0X2D,self_harm,exact
T55.0X2S,self_harm,exact
T55.1X2,self_harm,exact
T55.1X2A,self_harm,exact
T55.1X2D,self_harm,exact
T55.1X2S,self_harm,exact
T56.0X2,self_harm,exact
T56.0X2A,self_harm,exact
T56.0X2D,self_harm,exact
T56.0X2S,self_harm,exact
T56.1X2,self_harm,exact
T56.1X2A,self_harm,exact
T56.1X2D,self_harm,exact
T56.1X2S,self_harm,exact
T56.2X2,self_harm,exact
T56.2X2A,self_harm,exact
T56.2X2D,self_harm,exact
T56.2X2S,self_harm,exact
T56.3X2,self_harm,exact
T56.3X2A,self_harm,exact
T56.3X2D,self_harm,exact
T56.3X2S,self_harm,exact
T56.4X2,self_harm,exact
T56.4X2A,self_harm,exact
T56.4X2D,self_harm,exact
T56.4X2S,self_harm,exact
T56.5X2,self_harm,exact
T56.5X2A,self_harm,exact
T56.5X2D,self_harm,exact
T56.5X2S,self_harm,exact
T56.6X2,self_harm,exact
T56.6X2A,self_harm,exact
T56.6X2D,self_harm,exact
T56.6X2S,self_harm,exact
T56.7X2,self_harm,exact
T56.7X2A,self_harm,exact
T56.7X2D,self_harm,exact
T56.7X2S,self_harm,exact
T56.812,self_harm,exact
T56.812A,self_harm,exact
T56.812D,self_harm,exact
T56.812S,self_harm,exact
T56.892,self_harm,exact
T56.892A,self_harm,exact
T56.892D,self_harm,exact
T56.892S,self_harm,exact
T56.92XA,self_harm,exact
T56.92XD,self_harm,exact
T56.92XS,self_harm,exact
T57.0X2,self_harm,exact
T57.0X2A,self_harm,exact
T57.0X2D,self_harm,exact
T57.0X2S,self_harm,exact
T57.1X2,self_harm,exact
T57.1X2A,self_harm,exact
T57.1X2D,self_harm,exact
T57.1X2S,self_harm,exact
T57.2X2,self_harm,exact
T57.2X2A,self_harm,exact
T57.2X2D,self_harm,exact
T57.2X2S,self_harm,exact
T57.3X2,self_harm,exact
T57.3X2A,self_harm,exact
T57.3X2D,self_harm,exact
T57.3X2S,self_harm,exact
T57.8X2,self_harm,exact
T57.8X2A,self_harm,exact
T57.8X2D,self_harm,exact
T57.8X2S,self_harm,exact
T57.92XA,self_harm,exact
T57.92XD,self_harm,exact
T57.92XS,self_harm,exact
T58.02XA,self_harm,exact
T58.02XD,self_harm,exact
T58.02XS,self_harm,exact
T58.12XA,self_harm,exact
T58.12XD,self_harm,exact
T58.12XS,self_harm,exact
T58.2X2,self_harm,exact
T58.2X2A,self_harm,exact
T58.2X2D,self_harm,exact
T58.2X2S,self_harm,exact
T58.8X2,self_harm,exact
T58.8X2A,self_harm,exact
T58.8X2D,self_harm,exact
T58.8X2S,self_harm,exact
T58.92XA,self_harm,exact
T58.92XD,self_harm,exact
T58.92XS,self_harm,exact
T59.0X2,self_harm,exact
T59.0X2A,self_harm,exact
T59.0X2D,self_harm,exact
T59.0X2S,self_harm,exact
T59.1X2,self_harm,exact
T59.1X2A,self_harm,exact
T59.1X2D,self_harm,exact
T59.1X2S,self_harm,exact
T59.2X2,self_harm,exact
T59.2X2A,self_harm,exact
T59.2X2D,self_harm,exact
T59.2X2S,self_harm,exact
T59.3X2,self_harm,exact
T59.3X2A,self_harm,exact
T59.3X2D,self_harm,exact
T59.3X2S,self_harm,exact
T59.4X2,self_harm,exact
T59.4X2A,self_harm,exact
T59.4X2D,self_harm,exact
T59.4X2S,self_harm,exact
T59.5X2,self_harm,exact
T59.5X2A,self_harm,exact
T59.5X2D,self_harm,exact
T59.5X2S,self_harm,exact
T59.6X2,self_harm,exact
T59.6X2A,self_harm,exact
T59.6X2D,self_harm,exact
T59.6X2S,self_harm,exact
T59.7X2,self_harm,exact
T59.7X2A,self_harm,exact
T59.7X2D,self_harm,exact
T59.7X2S,self_harm,exact
T59.812,self_harm,exact
T59.812A,self_harm,exact
T59.812D,self_harm,exact
T59.812S,self_harm,exact
T59.892,self_harm,exact
T59.892A,self_harm,exact
T59.892D,self_harm,exact
T59.892S,self_harm,exact
T59.92XA,self_harm,exact
T59.92XD,self_harm,exact
T59.92XS,self_harm,exact
T60.0X2,self_harm,exact
T60.0X2A,self_harm,exact
T60.0X2D,self_harm,exact
T60.0X2S,self_harm,exact
T60.1X2,self_harm,exact
T60.1X2A,self_harm,exact
T60.1X2D,self_harm,exact
T60.1X2S,self_harm,exact
T60.2X2,self_harm,exact
T60.2X2A,self_harm,exact
T60.2X2D,self_harm,exact
T60.2X2S,self_harm,exact
T60.3X2,self_harm,exact
T60.3X2A,self_harm,exact
T60.3X2D,self_harm,exact
T60.3X2S,self_harm,exact
T60.4X2,self_harm,exact
T60.4X2A,self_harm,exact
T60.4X2D,self_harm,exact
T60.4X2S,self_harm,exact
T60.8X2,self_harm,exact
T60.8X2A,self_harm,exact
T60.8X2D,self_harm,exact
T60.8X2S,self_harm,exact
T60.92XA,self_harm,exact
T60.92XD,self_harm,exact
T60.92XS,self_harm,exact
T61.02XA,self_harm,exact
T61.02XD,self_harm,exact
T61.02XS,self_harm,exact
T61.12XA,self_harm,exact
T61.12XD,self_harm,exact
T61.12XS,self_harm,exact
T61.772,self_harm,exact
T61.772A,self_harm,exact
T61.772D,self_harm,exact
T61.772S,self_harm,exact
T61.782,self_harm,exact
T61.782A,self_harm,exact
T61.782D,self_harm,exact
T61.782S,self_harm,exact
T61.8X2,self_harm,exact
T61.8X2A,self_harm,exact
T61.8X2D,self_harm,exact
T61.8X2S,self_harm,exact
T61.92XA,self_harm,exact
T61.92XD,self_harm,exact
T61.92XS,self_harm,exact
T62.0X2,self_harm,exact
T62.0X2A,self_harm,exact
T62.0X2D,self_harm,exact
T62.0X2S,self_harm,exact
T62.1X2,self_harm,exact
T62.1X2A,self_harm,exact
T62.1X2D,self_harm,exact
T62.1X2S,self_harm,exact
T62.2X2,self_harm,exact
T62.2X2A,self_harm,exact
T62.2X2D,self_harm,exact
T62.2X2S,self_harm,exact
T62.8X2,self_harm,exact
T62.8X2A,self_harm,exact
T62.8X2D,self_harm,exact
T62.8X2S,self_harm,exact
T62.92XA,self_harm,exact
T62.92XD,self_harm,exact
T62.92XS,self_harm,exact
T63.002,self_harm,exact
T63.002A,self_harm,exact
T63.002D,self_harm,exact
T63.002S,self_harm,exact
T63.012,self_harm,exact
T63.012A,self_harm,exact
T63.012D,self_harm,exact
T63.012S,self_harm,exact
T63.022,self_harm,exact
T63.022A,self_harm,exact
T63.022D,self_harm,exact
T63.022S,self_harm,exact
T63.032,self_harm,exact
T63.032A,self_harm,exact
T63.032D,self_harm,exact
T63.032S,self_harm,exact
T63.042,self_harm,exact
T63.042A,self_harm,exact
T63.042D,self_harm,exact
T63.042S,self_harm,exact
T63.062,self_harm,exact
T63.062A,self_harm,exact
T63.062D,self_harm,exact
T63.062S,self_harm,exact
T63.072,self_harm,exact
T63.072A,self_harm,exact
T63.072D,self_harm,exact
T63.072S,self_harm,exact
T63.082,self_harm,exact
T63.082A,self_harm,exact
T63.082D,self_harm,exact
T63.082S,self_harm,exact
T63.092,self_harm,exact
T63.092A,self_harm,exact
T63.092D,self_harm,exact
T63.092S,self_harm,exact
T63.112,self_harm,exact
T63.112A,self_harm,exact
T63.112D,self_harm,exact
T63.112S,self_harm,exact
T63.122,self_harm,exact
T63.122A,self_harm,exact
T63.122D,self_harm,exact
T63.122S,self_harm,exact
T63.192,self_harm,exact
T63.192A,self_harm,exact
T63.192D,self_harm,exact
T63.192S,self_harm,exact
T63.2X2,self_harm,exact
T63.2X2A,self_harm,exact
T63.2X2D,self_harm,exact
T63.2X2S,self_harm,exact
T63.302,self_harm,exact
T63.302A,self_harm,exact
T63.302D,self_harm,exact
T63.302S,self_harm,exact
T63.312,self_harm,exact
T63.312A,self_harm,exact
T63.312D,self_harm,exact
T63.312S,self_harm,exact
T63.322,self_harm,exact
T63.322A,self_harm,exact
T63.322D,self_harm,exact
T63.322S,self_harm,exact
T63.332,self_harm,exact
T63.332A,self_harm,exact
T63.332D,self_harm,exact
T63.332S,self_harm,exact
T63.392,self_harm,exact
T63.392A,self_harm,exact
T63.392D,self_harm,exact
T63.392S,self_harm,exact
T63.412,self_harm,exact
T63.412A,self_harm,exact
T63.412D,self_harm,exact
T63.412S,self_harm,exact
T63.422,self_harm,exact
T63.422A,self_harm,exact
T63.422D,self_harm,exact
T63.422S,self_harm,exact
T63.432,self_harm,exact
T63.432A,self_harm,exact
T63.432D,self_harm,exact
T63.432S,self_harm,exact
T63.442,self_harm,exact
T63.442A,self_harm,exact
T63.442D,self_harm,exact
T63.442S,self_harm,exact
T63.452,self_harm,exact
T63.452A,self_harm,exact
T63.452D,self_harm,exact
T63.452S,self_harm,exact
T63.462,self_harm,exact
T63.462A,self_harm,exact
T63.462D,self_harm,exact
T63.462S,self_harm,exact
T63.482,self_harm,exact
T63.482A,self_harm,exact
T63.482D,self_harm,exact
T63.482S,self_harm,exact
T63.512,self_harm,exact
T63.512A,self_harm,exact
T63.512D,self_harm,exact
T63.512S,self_harm,exact
T63.592,self_harm,exact
T63.592A,self_harm,exact
T63.592D,self_harm,exact
T63.592S,self_harm,exact
T63.612,self_harm,exact
T63.612A,self_harm,exact
T63.612D,self_harm,exact
T63.612S,self_harm,exact
T63.622,self_harm,exact
T63.622A,self_harm,exact
T63.622D,self_harm,exact
T63.622S,self_harm,exact
T63.632,self_harm,exact
T63.632A,self_harm,exact
T63.632D,self_harm,exact
T63.632S,self_harm,exact
T63.692,self_harm,exact
T63.692A,self_harm,exact
T63.692D,self_harm,exact
T63.692S,self_harm,exact
T63.712,self_harm,exact
T63.712A,self_harm,exact
T63.712D,self_harm,exact
T63.712S,self_harm,exact
T63.792,self_harm,exact
T63.792A,self_harm,exact
T63.792D,self_harm,exact
T63.792S,self_harm,exact
T63.812,self_harm,exact
T63.812A,self_harm,exact
T63.812D,self_harm,exact
T63.812S,self_harm,exact
T63.822,self_harm,exact
T63.822A,self_harm,exact
T63.822D,self_harm,exact
T63.822S,self_harm,exact
T63.832,self_harm,exact
T63.832A,self_harm,exact
T63.832D,self_harm,exact
T63.832S,self_harm,exact
T63.892,self_harm,exact
T63.892A,self_harm,exact
T63.892D,self_harm,exact
T63.892S,self_harm,exact
T63.92XA,self_harm,exact
T63.92XD,self_harm,exact
T63.92XS,self_harm,exact
T64.02XA,self_harm,exact
T64.02XD,self_harm,exact
T64.02XS,self_harm,exact
T64.82XA,self_harm,exact
T64.82XD,self_harm,exact
T64.82XS,self_harm,exact
T65.0X2,self_harm,exact
T65.0X2A,self_harm,exact
T65.0X2D,self_harm,exact
T65.0X2S,self_harm,exact
T65.1X2,self_harm,exact
T65.1X2A,self_harm,exact
T65.1X2D,self_harm,exact
T65.1X2S,self_harm,exact
T65.212,self_harm,exact
T65.212A,self_harm,exact
T65.212D,self_harm,exact
T65.212S,self_harm,exact
T65.222,self_harm,exact
T65.222A,self_harm,exact
T65.222D,self_harm,exact
T65.222S,self_harm,exact
T65.292,self_harm,exact
T65.292A,self_harm,exact
T65.292D,self_harm,exact
T65.292S,self_harm,exact
T65.3X2,self_harm,exact
T65.3X2A,self_harm,exact
T65.3X2D,self_harm,exact
T65.3X2S,self_harm,exact
T65.4X2,self_harm,exact
T65.4X2A,self_harm,exact
T65.4X2D,self_harm,exact
T65.4X2S,self_harm,exact
T65.5X2,self_harm,exact
T65.5X2A,self_harm,exact
T65.5X2D,self_harm,exact
T65.5X2S,self_harm,exact
T65.6X2,self_harm,exact
T65.6X2A,self_harm,exact
T65.6X2D,self_harm,exact
T65.6X2S,self_harm,exact
T65.812,self_harm,exact
T65.812A,self_harm,exact
T65.812D,self_harm,exact
T65.812S,self_harm,exact
T65.822,self_harm,exact
T65.822A,self_harm,exact
T65.822D,self_harm,exact
T65.822S,self_harm,exact
T65.832,self_harm,exact
T65.832A,self_harm,exact
T65.832D,self_harm,exact
T65.832S,self_harm,exact
T65.892,self_harm,exact
T65.892A,self_harm,exact
T65.892D,self_harm,exact
T65.892S,self_harm,exact
T65.92XA,self_harm,exact
T65.92XD,self_harm,exact
T65.92XS,self_harm,exact
T71.112,self_harm,exact
T71.112A,self_harm,exact
T71.112D,self_harm,exact
T71.112S,self_harm,exact
T71.122,self_harm,exact
T71.122A,self_harm,exact
T71.122D,self_harm,exact
T71.122S,self_harm,exact
T71.132,self_harm,exact
T71.132A,self_harm,exact
T71.132D,self_harm,exact
T71.132S,self_harm,exact
T71.152,self_harm,exact
T71.152A,self_harm,exact
T71.152D,self_harm,exact
T71.152S,self_harm,exact
T71.162,self_harm,exact
T71.162A,self_harm,exact
T71.162D,self_harm,exact
T71.162S,self_harm,exact
T71.192,self_harm,exact
T71.192A,self_harm,exact
T71.192D,self_harm,exact
T71.192S,self_harm,exact
T71.222,self_harm,exact
T71.222A,self_harm,exact
T71.222D,self_harm,exact
T71.222S,self_harm,exact
T71.232,self_harm,exact
T71.232A,self_harm,exact
T71.232D,self_harm,exact
T71.232S,self_harm,exact
X71,self_harm,exact
X71-X83,self_harm,exact
X71.0,self_harm,exact
X71.0XXA,self_harm,exact
X71.0XXD,self_harm,exact
X71.0XXS,self_harm,exact
X71.1,self_harm,exact
X71.1XXA,self_harm,exact
X71.1XXD,self_harm,exact
X71.1XXS,self_harm,exact
X71.2,self_harm,exact
X71.2XXA,self_harm,exact
X71.2XXD,self_harm,exact
X71.2XXS,self_harm,exact
X71.3,self_harm,exact
X71.3XXA,self_harm,exact
X71.3XXD,self_harm,exact
X71.3XXS,self_harm,exact
X71.8,self_harm,exact
X71.8XXA,self_harm,exact
X71.8XXD,self_harm,exact
X71.8XXS,self_harm,exact
X71.9,self_harm,exact
X71.9XXA,self_harm,exact
X71.9XXD,self_harm,exact
X71.9XXS,self_harm,exact
X72,self_harm,exact
X72.XXXA,self_harm,exact
X72.XXXD,self_harm,exact
X72.XXXS,self_harm,exact
X73,self_harm,exact
X73.0,self_harm,exact
X73.0XXA,self_harm,exact
X73.0XXD,self_harm,exact
X73.0XXS,self_harm,exact
X73.1,self_harm,exact
X73.1XXA,self_harm,exact
X73.1XXD,self_harm,exact
X73.1XXS,self_harm,exact
X73.2,self_harm,exact
X73.2XXA,self_harm,exact
X73.2XXD,self_harm,exact
X73.2XXS,self_harm,exact
X73.8,self_harm,exact
X73.8XXA,self_harm,exact
X73.8XXD,self_harm,exact
X73.8XXS,self_harm,exact
X73.9,self_harm,exact
X73.9XXA,self_harm,exact
X73.9XXD,self_harm,exact
X73.9XXS,self_harm,exact
X74,self_harm,exact
X74.0,self_harm,exact
X74.01,self_harm,exact
X74.01XA,self_harm,exact
X74.01XD,self_harm,exact
X74.01XS,self_harm,exact
X74.02,self_harm,exact
X74.02XA,self_harm,exact
X74.02XD,self_harm,exact
X74.02XS,self_harm,exact
X74.09,self_harm,exact
X74.09XA,self_harm,exact
X74.09XD,self_harm,exact
X74.09XS,self_harm,exact
X74.8,self_harm,exact
X74.8XXA,self_harm,exact
X74.8XXD,self_harm,exact
X74.8XXS,self_harm,exact
X74.9,self_harm,exact
X74.9XXA,self_harm,exact
X74.9XXD,self_harm,exact
X74.9XXS,self_harm,exact
X75,self_harm,exact
X75.XXXA,self_harm,exact
X75.XXXD,self_harm,exact
X75.XXXS,self_harm,exact
X76,self_harm,exact
X76.XXXA,self_harm,exact
X76.XXXD,self_harm,exact
X76.XXXS,self_harm,exact
X77,self_harm,exact
X77.0,self_harm,exact
X77.0XXA,self_harm,exact
X77.0XXD,self_harm,exact
X77.0XXS,self_harm,exact
X77.1,self_harm,exact
X77.1XXA,self_harm,exact
X77.1XXD,self_harm,exact
X77.1XXS,self_harm,exact
X77.2,self_harm,exact
X77.2XXA,self_harm,exact
X77.2XXD,self_harm,exact
X77.2XXS,self_harm,exact
X77.3,self_harm,exact
X77.3XXA,self_harm,exact
X77.3XXD,self_harm,exact
X77.3XXS,self_harm,exact
X77.8,self_harm,exact
X77.8XXA,self_harm,exact
X77.8XXD,self_harm,exact
X77.8XXS,self_harm,exact
X77.9,self_harm,exact
X77.9XXA,self_harm,exact
X77.9XXD,self_harm,exact
X77.9XXS,self_harm,exact
X78,self_harm,exact
X78.0,self_harm,exact
X78.0XXA,self_harm,exact
X78.0XXD,self_harm,exact
X78.0XXS,self_harm,exact
X78.1,self_harm,exact
X78.1XXA,self_harm,exact
X78.1XXD,self_harm,exact
X78.1XXS,self_harm,exact
X78.2,self_harm,exact
X78.2XXA,self_harm,exact
X78.2XXD,self_harm,exact
X78.2XXS,self_harm,exact
X78.8,self_harm,exact
X78.8XXA,self_harm,exact
X78.8XXD,self_harm,exact
X78.8XXS,self_harm,exact
X78.9,self_harm,exact
X78.9XXA,self_harm,exact
X78.9XXD,self_harm,exact
X78.9XXS,self_harm,exact
X79,self_harm,exact
X79.XXXA,self_harm,exact
X79.XXXD,self_harm,exact
X79.XXXS,self_harm,exact
X80,self_harm,exact
X80.XXXA,self_harm,exact
X80.XXXD,self_harm,exact
X80.XXXS,self_harm,exact
X81,self_harm,exact
X81.0,self_harm,exact
X81.0XXA,self_harm,exact
X81.0XXD,self_harm,exact
X81.0XXS,self_harm,exact
X81.1,self_harm,exact
X81.1XXA,self_harm,exact
X81.1XXD,self_harm,exact
X81.1XXS,self_harm,exact
X81.8,self_harm,exact
X81.8XXA,self_harm,exact
X81.8XXD,self_harm,exact
X81.8XXS,self_harm,exact
X82,self_harm,exact
X82.0,self_harm,exact
X82.0XXA,self_harm,exact
X82.0XXD,self_harm,exact
X82.0XXS,self_harm,exact
X82.1,self_harm,exact
X82.1XXA,self_harm,exact
X82.1XXD,self_harm,exact
X82.1XXS,self_harm,exact
X82.2,self_harm,exact
X82.2XXA,self_harm,exact
X82.2XXD,self_harm,exact
X82.2XXS,self_harm,exact
X82.8,self_harm,exact
X82.8XXA,self_harm,exact
X82.8XXD,self_harm,exact
X82.8XXS,self_harm,exact
X83,self_harm,exact
X83.0,self_harm,exact
X83.0XXA,self_harm,exact
X83.0XXD,self_harm,exact
X83.0XXS,self_harm,exact
X83.1,self_harm,exact
X83.1XXA,self_harm,exact
X83.1XXD,self_harm,exact
X83.1XXS,self_harm,exact
X83.2,self_harm,exact
X83.2XXA,self_harm,exact
X83.2XXD,self_harm,exact
X83.2XXS,self_harm,exact
X83.8,self_harm,exact
X83.8XXA,self_harm,exact
X83.8XXD,self_harm,exact
X83.8XXS,self_harm,exact
Z91.5,self_harm,exact
Z91.51,self_harm,exact
Z91.52,self_harm,exact
